251,255,254,252,253,255,254,253,253,253,250,251,251,252,254,253
253,251,254,254,254,252,252,252,250,252,16,15,250,253,249,252
254,255,254,255,254,253,254,253,252,247,131,171,14,249,251,255
254,251,254,251,251,251,247,250,251,245,101,121,155,10,251,254
253,252,250,247,27,37,239,65,109,200,230,126,149,179,3,254
252,252,250,26,169,118,88,156,90,239,239,10,9,7,253,250
255,252,247,52,186,92,153,113,155,96,91,245,249,251,254,253
254,251,243,61,224,239,130,113,120,142,119,246,252,251,254,248
250,251,91,123,116,227,228,238,95,152,8,251,254,253,252,254
253,248,160,117,97,141,111,242,230,95,251,253,253,253,255,251
241,74,242,244,244,63,113,9,248,5,253,253,253,252,252,254
241,148,12,97,246,9,28,210,2,253,247,254,252,254,255,251
245,111,169,126,242,248,159,5,253,254,255,253,255,252,254,254
250,9,174,142,148,6,5,252,254,254,253,253,253,254,254,252
254,250,7,7,3,252,253,252,255,252,252,254,253,254,253,254
252,254,254,254,255,254,252,254,251,253,253,253,252,253,255,254
